idx,date,open,high,low,close,volume,transaction_value,listed_stock_amount,market_capitalization,foreigner_limit_buy_quantity,foreigner_available_buy_quantity,foreigner_holding_quantity,foreigner_holding_rate,agency_net_buy_quantity,agency_accumulate_net_buy_quantity,advance_decline_line,advance_decline_ratio,deposit,turnover_ratio,transaction_completion_rate
4740,20030408,6023,6083,5925,6000,55573,334000000,13768000,82608000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4739,20030409,6000,6075,5888,6023,34041,203000000,13768000,82924000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4738,20030410,6023,6090,5963,5963,37250,224000000,13768000,82098000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4737,20030411,5970,6158,5970,6060,52089,317000000,13768000,83434000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4736,20030414,6150,6248,6113,6195,60196,373000000,13768000,85292000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4735,20030415,6293,6300,6158,6195,85044,532000000,13768000,85292000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4734,20030416,6225,6435,6150,6390,97934,618000000,13768000,87977000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4733,20030417,6450,6653,6375,6608,127804,831000000,13768000,90978000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4732,20030418,6645,6675,6525,6600,97726,646000000,13768000,90868000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4731,20030421,6390,6585,6390,6510,42600,275000000,13768000,89629000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4730,20030422,6503,6503,6188,6330,68866,433000000,13768000,87151000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4729,20030423,6263,6375,6188,6203,65113,408000000,13768000,85402000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4728,20030424,6120,6218,6038,6098,63576,389000000,13768000,83957000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4727,20030425,6075,6075,5693,5693,105784,618000000,13768000,78381000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4726,20030428,5775,6540,5693,6113,379706,2405000000,13768000,84163000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4725,20030429,6000,6285,5955,6255,134813,827000000,13768000,86118000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4724,20030430,6330,6330,6113,6225,60141,373000000,13768000,85705000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4723,20030502,6240,6450,6195,6278,41186,258000000,13768000,86435000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4722,20030506,6308,6488,6173,6375,77549,495000000,13768000,87771000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
